Vacation_Search,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Balao,EC,73.9,overcast clouds,-2.9167,-79.8167,Hostal del Rio
409,El Campo,US,73.69,overcast clouds,29.1966,-96.2697,Days Inn by Wyndham El Campo TX
415,Louis Trichardt,ZA,77.54,clear sky,-23.0439,29.9032,Clouds' End Hotel
417,Ko Samui,TH,79.36,light rain,9.5357,99.9357,Nathon Residence
418,Camocim,BR,75.36,light rain,-2.9022,-40.8411,Hotel Camocim
419,Broken Hill,AU,87.94,clear sky,-31.95,141.4333,Ibis Styles
423,Gamba,GA,76.12,overcast clouds,-2.65,10.0,No hotel found
426,Porbandar,IN,77.92,clear sky,21.6422,69.6093,Toran Tourist Bungalow
427,Puerto Cabello,VE,81.95,few clouds,10.4731,-68.0125,Pequeña Vegas
431,Poum,NC,78.33,clear sky,-20.2333,164.0167,No hotel found
433,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Hotel Hero
437,Mancio Lima,BR,71.08,overcast clouds,-7.6142,-72.8958,No hotel found
443,Kloulklubed,PW,83.28,overcast clouds,7.0419,134.2556,The Adventures Inn
449,Tadine,NC,78.31,scattered clouds,-21.55,167.8833,No hotel found
451,Dunmore Town,BS,76.41,clear sky,25.5,-76.65,The Landing Hotel & Restaurant
453,Vredefort,ZA,75.69,clear sky,-27.0081,27.3646,No hotel found
455,Manggar,ID,83.1,overcast clouds,-2.8833,108.2667,No hotel found
459,Champerico,GT,76.28,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
462,Taitung,TW,71.87,broken clouds,22.7583,121.1444,瑞軒民宿
468,Maragogi,BR,76.35,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
469,Aripuana,BR,70.32,overcast clouds,-9.1667,-60.6333,No hotel found
476,Saint-Pierre,RE,85.68,light rain,-21.3393,55.4781,Tropic Hotel
478,Arawa,PG,80.94,light rain,-6.2132,155.5367,No hotel found
481,Road Town,VG,77.85,clear sky,18.4167,-64.6167,No hotel found
484,Chimoio,MZ,77.2,light rain,-19.1164,33.4833,Hotel Amirana
486,Lusambo,CD,78.13,overcast clouds,-4.9667,23.45,No hotel found
487,Padang,ID,82.45,light rain,-0.9492,100.3543,losmen Surya
488,Oyem,GA,71.94,light rain,1.5995,11.5793,Mvett Palace
498,Mandla,IN,75.76,clear sky,22.6,80.3833,No hotel found
511,Kailua,US,74.89,broken clouds,21.4022,-157.7394,No hotel found
513,Bwanga,TZ,74.05,clear sky,-3.0308,31.7601,No hotel found
519,Aitape,PG,83.71,overcast clouds,-3.1374,142.3475,No hotel found
522,Meulaboh,ID,82.96,overcast clouds,4.1363,96.1285,Hotel Meuligou
524,Neiafu,TO,81.48,light rain,-18.65,-173.9833,Port Wine Guest House
529,Gibara,CU,75.51,clear sky,21.1097,-76.1317,Plaza Colón
531,Sao Filipe,CV,75.38,broken clouds,14.8961,-24.4956,Bela Vista
536,Sao Caetano De Odivelas,BR,74.03,few clouds,-0.75,-48.02,No hotel found
539,Puerto Escondido,MX,76.01,scattered clouds,15.85,-97.0667,Hotel Barlovento
540,Jawhar,SO,85.42,broken clouds,2.7809,45.5005,Hotel Subiye
542,The Valley,AI,76.1,clear sky,18.217,-63.0578,CeBlue
550,Itaueira,BR,71.65,overcast clouds,-7.6033,-43.0256,No hotel found
555,Kawalu,ID,82.58,overcast clouds,-7.3817,108.2082,Hotel Surya
556,Nabire,ID,86.22,overcast clouds,-3.3667,135.4833,Hotel Anggrek
557,Lahat,ID,78.35,overcast clouds,-3.8,103.5333,No hotel found
559,Inhambane,MZ,82.15,light rain,-23.865,35.3833,Hotel de Inhambane
560,Binga,ZW,70.88,light rain,-17.6203,27.3414,Lake View Inn
561,Maneromango,TZ,82.51,overcast clouds,-7.1988,38.7848,No hotel found
564,Giyani,ZA,82.17,few clouds,-23.3025,30.7187,No hotel found
567,Waspan,NI,70.21,clear sky,14.7419,-83.9717,Hospedaje Vanessa
569,Nguruka,TZ,72.68,overcast clouds,-5.1092,31.0419,Galaxy Lodge
572,Batticaloa,LK,80.64,clear sky,7.7102,81.6924,Lake View Hotel
577,Lorengau,PG,83.61,few clouds,-2.0226,147.2712,Seeadler Bay Hotel
578,Maun,BW,75.02,broken clouds,-19.9833,23.4167,Center Lodge Conference Center
587,Sao Joao Da Barra,BR,71.4,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
590,Mabaruma,GY,71.46,light rain,8.2,-59.7833,Monty Brooms Hotel
592,Muli,MV,79.93,scattered clouds,2.9167,73.5667,No hotel found
593,Bubaque,GW,78.21,overcast clouds,11.2833,-15.8333,Chez Julio
599,Porto Novo,BJ,73.47,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
600,Masvingo,ZW,77.27,clear sky,-20.0637,30.8277,Regency Hotel Chevron
602,Davila,PH,87.78,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
603,Kribi,CM,80.06,overcast clouds,2.95,9.9167,Mont neyanc
604,Taunggyi,MM,72.28,clear sky,20.7833,97.0333,Golden Island Cottages
608,Touros,BR,76.12,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
610,Namatanai,PG,82.38,light rain,-3.6667,152.4333,Namatanai Hotel
616,Bloemhof,ZA,78.03,clear sky,-27.6469,25.607,Calimyn
619,Kondoa,TZ,72.41,few clouds,-4.9,35.7833,No hotel found
620,Sarangani,PH,81.18,overcast clouds,5.4033,125.4636,No hotel found
623,Eyl,SO,81.3,scattered clouds,7.9803,49.8164,فندق ايل دابي
624,Badarpur,IN,77.97,clear sky,24.9,92.6,No hotel found
625,Mossendjo,CG,72.86,overcast clouds,-2.9506,12.7261,Louesse Palace
631,Quatre Cocos,MU,85.08,overcast clouds,-20.2078,57.7625,Horisun
636,Raga,SS,75.42,overcast clouds,8.4596,25.678,No hotel found
637,Saint-Georges,GD,75.74,clear sky,12.0564,-61.7485,Deyna's City Inn
640,Cabatuan,PH,74.98,overcast clouds,10.8794,122.486,No hotel found
641,Veraval,IN,78.58,broken clouds,20.9,70.3667,Shyam
650,Takoradi,GH,75.81,few clouds,4.8845,-1.7554,Hillcrest
652,Dire Dawa,ET,70.52,clear sky,9.5931,41.8661,Adis Abeba
654,Port Blair,IN,84.24,broken clouds,11.6667,92.75,Andaman Ocean Breeze
655,Marawi,PH,73.09,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
656,Iguape,BR,71.35,overcast clouds,-24.7081,-47.5553,Pousada dos Lampiões
657,Dakar,SN,72.48,overcast clouds,14.6937,-17.4441,翁记小吃
658,Madras,IN,85.98,haze,13.0878,80.2785,Blue Star International
659,Thinadhoo,MV,80.24,few clouds,0.5333,72.9333,No hotel found
660,Camapua,BR,70.88,overcast clouds,-19.5314,-54.0439,No hotel found
661,Mosetse,BW,75.79,scattered clouds,-20.75,26.65,No hotel found
663,Loiza,PR,75.2,scattered clouds,18.4313,-65.8802,No hotel found
666,Charters Towers,AU,87.69,few clouds,-20.1,146.2667,No hotel found
669,Port-Gentil,GA,76.96,thunderstorm,-0.7193,8.7815,Tara-Mé
671,Oriximina,BR,72.81,overcast clouds,-1.7656,-55.8661,No hotel found
674,Sao Gabriel Da Cachoeira,BR,70.27,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
676,Los Aquijes,PE,71.37,overcast clouds,-14.0967,-75.6908,El Embrujo
678,Harper,LR,75.16,few clouds,4.375,-7.7169,No hotel found
681,Port Moresby,PG,84.99,few clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
682,Vao,NC,76.15,clear sky,-22.6667,167.4833,Nataiwatch
683,Itupiranga,BR,71.11,broken clouds,-5.1347,-49.3267,No hotel found
684,Kampot,KH,89.65,overcast clouds,10.6167,104.1833,Sambor Sambat Guesthouse
686,Iberia,US,73.47,broken clouds,29.9502,-91.7507,No hotel found
691,Anloga,GH,77.43,scattered clouds,5.7947,0.8973,Hotel de White House
702,Ikongo,MG,80.85,overcast clouds,-21.8833,47.4333,Faneva Hotel Ikongo
703,Cuamba,MZ,74.21,moderate rain,-14.8031,36.5372,Pensao Cariaco
706,Porto Murtinho,BR,73.51,overcast clouds,-21.6989,-57.8825,Hotel Saladero Cuê
