City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Male,MV,4.1748,73.5089,85.95,66,20,16.11,few clouds
115,Bambous Virieux,MU,-20.3428,57.7575,85.21,65,40,4.61,scattered clouds
116,Westport,US,41.1415,-73.3579,50.18,84,100,3.44,overcast clouds
117,Sisimiut,GL,66.9395,-53.6735,-0.98,82,99,18.84,overcast clouds
118,Ponta Do Sol,PT,32.6667,-17.1,63.23,72,17,7.49,few clouds
119,Faanui,PF,-16.4833,-151.75,81.37,73,100,11.81,overcast clouds
120,Katherine,AU,-14.4667,132.2667,86.32,66,100,11.5,light rain
121,Chokurdakh,RU,70.6333,147.9167,-42.12,99,86,3.33,overcast clouds
122,Hengyang,CN,26.8881,112.615,56.34,43,23,6.4,few clouds
123,Mantua,IT,45.1667,10.7833,51.04,91,99,2.8,overcast clouds
124,Soyo,AO,-6.1349,12.3689,78.01,85,100,4.12,light rain
125,Moose Jaw,CA,50.4001,-105.5344,12.45,79,5,8.05,clear sky
126,Norman Wells,CA,65.282,-126.8329,8.64,72,100,6.91,overcast clouds
127,Fort Nelson,CA,58.8053,-122.7002,6.94,93,75,2.3,broken clouds
128,Siuna,NI,13.7332,-84.7773,67.51,98,4,2.35,clear sky
129,Bronnoysund,NO,65.4625,12.1997,32.0,93,40,4.61,scattered clouds
130,Sanghar,PK,26.0466,68.9481,72.93,17,6,7.94,clear sky
131,Nantucket,US,41.2835,-70.0995,42.15,92,0,0.0,mist
132,Fortuna,US,40.5982,-124.1573,46.74,94,75,6.91,broken clouds
133,Viedma,AR,-40.8135,-62.9967,62.56,46,7,7.45,clear sky
134,Kepno,PL,51.2784,17.9891,46.8,82,95,11.23,overcast clouds
135,Zyryanka,RU,65.75,150.85,-45.13,99,66,4.65,broken clouds
136,Carroll,US,39.5501,-77.0164,52.72,83,100,3.0,overcast clouds
137,Luderitz,NA,-26.6481,15.1594,67.26,79,15,5.95,few clouds
138,Provideniya,RU,64.3833,-173.3,-4.07,88,98,5.95,overcast clouds
139,Acapulco,MX,16.8634,-99.8901,75.49,72,100,5.03,overcast clouds
140,Victoria,HK,22.2855,114.1577,71.2,72,78,17.0,broken clouds
141,Tura,IN,25.5198,90.2201,74.05,38,0,3.53,clear sky
142,Bilma,NE,18.6853,12.9164,56.34,33,100,5.79,overcast clouds
143,Vardo,NO,70.3705,31.1107,30.18,69,75,20.71,broken clouds
144,Korgen,NO,66.0771,13.8153,21.33,97,100,1.39,overcast clouds
145,Lavrentiya,RU,65.5833,-171.0,-10.28,82,100,10.0,overcast clouds
146,Jamestown,US,42.097,-79.2353,44.24,100,100,3.44,overcast clouds
147,Iqaluit,CA,63.7506,-68.5145,-15.07,76,20,2.3,few clouds
148,Zyryanskoye,RU,56.8306,86.6258,13.62,90,85,6.8,overcast clouds
149,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,78,75,19.57,light snow
150,Mayumba,GA,-3.432,10.6554,77.04,87,100,4.34,overcast clouds
151,Sola,VU,-13.8833,167.55,79.39,85,100,23.85,light rain
